AirtableID,Request ID,Monday Part Request,Material,Request Status,Part Type,Qty On Order,Qty Completed,Quantity Remaining,Created,Last Modified Time,Daily Update,Daily Update 2,Daily Update 3,Daily Update 4,Remaining Manufacturing Time (Hours),Pricing,Lookup Manufacturing Time (from Pricing),Run Automation,Daily Update copy
Caldera Closed - Cups - Torrefied Black Limba Samples - 8727849430,8727849430,Caldera Closed,Torrefied Black Limba Samples,Open,Cups,3,,3,3/18/2025 6:06pm,3/18/2025 6:06pm,,,,,2,Cups,0:30,,
Atrium Closed - Baffles -  - 8999640915,8999640915,Atrium Closed,,Open,Baffles,0,,0,4/24/2025 1:39pm,4/24/2025 1:39pm,,,,,0,Baffles,0:10,,
Caldera Closed - Cups - Flake Resin /  Custom (See notes) - 9045030093,9045030093,Caldera Closed,Flake Resin /  Custom (See notes),Open,Cups,2,,2,4/30/2025 10:37pm,4/30/2025 10:38pm,,,,,1,Cups,0:30,,
Atrium Open - Cups - Thai Apple / Persimmon - 9048229961,9048229961,Atrium Open,Thai Apple / Persimmon,Open,Cups,4,,4,5/1/2025 1:25pm,5/1/2025 1:26pm,,,,,2,Cups,0:30,,
Atrium Closed - Cups - Resin / Custom (See notes) - 9068703371,9068703371,Atrium Closed,Resin / Custom (See notes),Open,Cups,0,,0,5/5/2025 11:09am,5/5/2025 11:10am,,,,,0,Cups,0:30,,
Oval Planar Cups - Cups - Cherry - 9079821340,9079821340,Oval Planar Cups,Cherry,Open,Cups,3,,3,5/6/2025 11:50am,5/6/2025 11:50am,,,,,2,Cups,0:30,,
Aeolus - Cups - Persimmon - 9120856970,9120856970,Aeolus,Persimmon,Open,Cups,1,,1,5/11/2025 8:06pm,5/11/2025 8:06pm,,,,,1,Cups,0:30,,
Atrium Closed - Baffles - Richlite - 9222242484,9222242484,Atrium Closed,Richlite,Open,Baffles,24,,24,5/23/2025 1:18pm,5/23/2025 1:18pm,,,,,4,Baffles,0:10,,
Caldera Closed - Cups - Walnut Burl - 9253677112,9253677112,Caldera Closed,Walnut Burl,Open,Cups,12,,12,5/28/2025 4:37pm,5/28/2025 4:38pm,,,,,6,Cups,0:30,,
Auteur Classic - Cups - Shedua - 9253674986,9253674986,Auteur Classic,Shedua,Open,Cups,12,,12,5/28/2025 4:37pm,5/28/2025 4:38pm,,,,,6,Cups,0:30,,
