Update ID,Part Requests,Monday Request ID Lookup,Monday Part Request  (from Part Requests),Part Type (from Part Requests),Material (from Part Requests) 2,Qty Made,Material - Import ,Date Manufactured,Row Total Revenue,Pricing Table Link,Price (from Pricing),Created Time,Run Automations,Entered In Monday,Statistics,Part Type - OLD,Part Type - Text - OLD,Part Import,Material (from Part Requests),Duplicate? Request ID (from Part Requests),Attachments,Monthly Total,Calculation,shippingStatus
1345,Amp Panels - Amp Panels - Medium/Brown - 9127621715,9127621715,Amp Panels,Amp Panels,Medium/Brown,3,,5/20/2025,$120.00,Amp Panels,$40.00,5/20/2025 10:32am,,checked,,Cups,,,Medium/Brown,Amp Panels - Amp Panels - Medium/Brown - 9127621715,,, - Amp Panels - ,In Transit
1344,Bokeh Open - Baffles - Richlite - 8999642299,8999642299,Bokeh Open,Baffles,Richlite,20,,5/20/2025,$400.00,Baffles,$20.00,5/20/2025 10:32am,,checked,,Cups,,,Richlite,Bokeh Open - Baffles - Richlite - 8999642299,,, - Baffles - ,In Transit
1343,Bokeh Closed - Cups - Limba - 8999541215,8999541215,Bokeh Closed,Cups,Limba,6,,5/20/2025,$240.00,Cups,$40.00,5/20/2025 10:31am,,checked,,Cups,,,Limba,Bokeh Closed - Cups - Limba - 8999541215,,, - Cups - ,In Transit
1342,Atrium Open - Cups - Cherry - 8999613817,8999613817,Atrium Open,Cups,Cherry,8,,5/19/2025,$320.00,Cups,$40.00,5/19/2025 10:02am,,checked,,Cups,,,Cherry,Atrium Open - Cups - Cherry - 8999613817,,, - Cups - ,In Transit
1341,Atrium Open - Cups - Torrefied Black Limba Samples - 8927270717,8927270717,Atrium Open,Cups,Torrefied Black Limba Samples,2,,5/19/2025,$80.00,Cups,$40.00,5/19/2025 10:02am,,checked,,Cups,,,Torrefied Black Limba Samples,Atrium Open - Cups - Torrefied Black Limba Samples - 8927270717,,, - Cups - ,In Transit
1340,Caldera Closed - Cups - Blue Resin / Walnut - 9044552364,9044552364,Caldera Closed,Cups,Blue Resin / Walnut,3,,5/16/2025,$120.00,Cups,$40.00,5/16/2025 2:18pm,,checked,,Cups,,,Blue Resin / Walnut,Caldera Closed - Cups - Blue Resin / Walnut - 9044552364,,, - Cups - ,In Transit
1339,Bokeh Closed - Cups - Limba - 8999541215,8999541215,Bokeh Closed,Cups,Limba,5,,5/16/2025,$200.00,Cups,$40.00,5/16/2025 2:18pm,,checked,,Cups,,,Limba,Bokeh Closed - Cups - Limba - 8999541215,,, - Cups - ,In Transit
1338,Bokeh Open - Cups - Emberstone - 8999540587,8999540587,Bokeh Open,Cups,Emberstone,5,,5/16/2025,$200.00,Cups,$40.00,5/16/2025 2:17pm,,checked,,Cups,,,Emberstone,Bokeh Open - Cups - Emberstone - 8999540587,,, - Cups - ,In Transit
1337,Bokeh Open - Cups - Nocturne - 8999540132,8999540132,Bokeh Open,Cups,Nocturne,4,,5/16/2025,$160.00,Cups,$40.00,5/16/2025 2:17pm,,checked,,Cups,,,Nocturne,Bokeh Open - Cups - Nocturne - 8999540132,,, - Cups - ,In Transit
1336,Caldera Closed - Cups - Zebra - 8999538857,8999538857,Caldera Closed,Cups,Zebra,16,,5/16/2025,$640.00,Cups,$40.00,5/16/2025 2:17pm,,checked,,Cups,,,Zebra,Caldera Closed - Cups - Zebra - 8999538857,,, - Cups - ,In Transit
1335,Bokeh Open - Baffles - Richlite - 8999642299,8999642299,Bokeh Open,Baffles,Richlite,15,,5/14/2025,$300.00,Baffles,$20.00,5/14/2025 4:26pm,,checked,,Cups,,,Richlite,Bokeh Open - Baffles - Richlite - 8999642299,,, - Baffles - ,In Transit
